epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,174.456,1.52726,0.72457,0.87219,0.86413,0.62141,0.73162,0.36528,2.08136,1.33483,1.18851,0.000891345,0.000891345,0.000891345
49,178.061,1.53523,0.72109,0.86726,0.82101,0.63866,0.71996,0.34916,2.10485,1.42821,1.16657,0.000874842,0.000874842,0.000874842
50,181.581,1.58275,0.74407,0.8695,0.77228,0.65573,0.71923,0.29501,2.23559,1.36686,1.16686,0.000858338,0.000858338,0.000858338
51,185.211,1.55067,0.7132,0.86549,0.83032,0.63417,0.72086,0.32132,2.13154,1.49217,1.197,0.000841835,0.000841835,0.000841835
52,189.203,1.54759,0.73052,0.87438,0.87771,0.6343,0.71778,0.36598,2.01952,1.37458,1.16367,0.000825332,0.000825332,0.000825332
53,192.682,1.56709,0.72753,0.87182,0.82885,0.62128,0.69318,0.3338,2.08524,1.49823,1.17379,0.000808828,0.000808828,0.000808828
54,196.303,1.5179,0.71152,0.86512,0.88613,0.66861,0.76268,0.3293,2.14484,1.31192,1.15608,0.000792325,0.000792325,0.000792325
55,199.927,1.50231,0.70618,0.87,0.82381,0.67742,0.74524,0.34165,2.07255,1.36946,1.13908,0.000775822,0.000775822,0.000775822
56,203.499,1.52766,0.72602,0.86996,0.86362,0.65863,0.73861,0.38741,1.99261,1.45817,1.15091,0.000759318,0.000759318,0.000759318
57,207.063,1.51318,0.69973,0.86859,0.84734,0.63424,0.74492,0.34323,2.12526,1.41866,1.164,0.000742815,0.000742815,0.000742815
58,210.558,1.49864,0.68927,0.86266,0.81547,0.64917,0.73303,0.3231,2.22418,1.57623,1.19396,0.000726312,0.000726312,0.000726312
59,214.075,1.51095,0.70572,0.86934,0.89246,0.65586,0.74404,0.369,1.99793,1.50197,1.16553,0.000709809,0.000709809,0.000709809
60,218.124,1.51746,0.7025,0.86775,0.87673,0.65329,0.74284,0.35207,2.15604,1.4091,1.20332,0.000693305,0.000693305,0.000693305
61,221.618,1.47117,0.67318,0.8625,0.83999,0.65924,0.72305,0.36397,2.04747,1.37318,1.16641,0.000676802,0.000676802,0.000676802
62,225.093,1.45253,0.67857,0.8534,0.82675,0.63417,0.72788,0.32628,2.17829,1.41437,1.18557,0.000660299,0.000660299,0.000660299
63,228.721,1.47075,0.67954,0.85975,0.8397,0.62755,0.73208,0.31071,2.14363,1.43108,1.18091,0.000643795,0.000643795,0.000643795
64,232.384,1.44579,0.68109,0.8562,0.80239,0.66782,0.73496,0.3272,2.18964,1.45062,1.18695,0.000627292,0.000627292,0.000627292
65,235.994,1.47987,0.68229,0.85959,0.85005,0.65593,0.7418,0.33064,2.11137,1.47158,1.16757,0.000610789,0.000610789,0.000610789
66,239.441,1.44229,0.66287,0.86322,0.78641,0.69312,0.75722,0.34793,2.06081,1.40047,1.16428,0.000594286,0.000594286,0.000594286
