epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49511,2.36162,3.75529,1.20239,0.00531,0.41084,0.06603,0.03565,1.90284,3.6035,0.99272,0.000542437,0.000542437,0.000542437
2,14.8087,1.97424,2.03574,1.06348,0.00914,0.72074,0.34095,0.15869,1.91797,2.70736,1.06319,0.00108723,0.00108723,0.00108723
3,21.0396,1.86332,1.68677,1.03703,0.8145,0.44374,0.63128,0.26785,1.78378,1.91582,1.03361,0.00162103,0.00162103,0.00162103
4,27.0886,1.8057,1.48732,1.02816,0.71824,0.6438,0.68414,0.29175,1.75726,1.4077,1.00501,0.00161749,0.00161749,0.00161749
5,33.0479,1.80457,1.41051,1.03085,0.71021,0.64158,0.70244,0.28482,1.79835,1.05103,1.01905,0.00160099,0.00160099,0.00160099
6,38.7704,1.75959,1.27921,1.01802,0.78449,0.68409,0.73688,0.33373,1.74141,1.10372,1.02121,0.00158448,0.00158448,0.00158448
7,44.7694,1.72845,1.2038,1.00544,0.85121,0.63394,0.74794,0.3295,1.77476,0.98775,1.01321,0.00156798,0.00156798,0.00156798
8,50.6994,1.69296,1.09829,0.98875,0.81872,0.70942,0.77979,0.36957,1.68252,0.95061,1.00114,0.00155148,0.00155148,0.00155148
9,56.5322,1.6761,1.04914,0.99234,0.82036,0.72779,0.78584,0.35863,1.65279,0.88503,0.99951,0.00153497,0.00153497,0.00153497
10,62.4271,1.63921,0.99226,0.97076,0.80174,0.68009,0.74743,0.32278,1.763,1.05687,1.00855,0.00151847,0.00151847,0.00151847
11,68.3221,1.66705,0.96939,0.98607,0.83359,0.7424,0.83474,0.37769,1.64936,0.88966,0.99055,0.00150197,0.00150197,0.00150197
12,74.1013,1.61625,0.96036,0.97195,0.80331,0.69161,0.77648,0.35985,1.63465,0.89883,0.9781,0.00148546,0.00148546,0.00148546
13,80.1107,1.60589,0.92532,0.97027,0.8216,0.75969,0.82267,0.40005,1.5465,0.81828,0.96676,0.00146896,0.00146896,0.00146896
