epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.67085,0,125.376,0,0,0,0,0,0,48.2188,0,0.00040008,0.00040008,0.00040008
2,7.94536,0,102.206,0,0,0,0,0,0,37.8438,0,0.000808743,0.000808743,0.000808743
3,11.0831,0,85.0343,0,0,0,0,0,0,67.5938,0,0.00120916,0.00120916,0.00120916
4,14.4108,0,74.4612,0,0,0,0,0,0,5830,0,0.00160132,0.00160132,0.00160132
5,17.6349,0,63.7487,0,0,0,0,0,0,nan,0,0.00160099,0.00160099,0.00160099
6,20.9209,0,55.0156,0,0,0,0,0,0,nan,0,0.00158448,0.00158448,0.00158448
7,24.0532,0,45.8053,0,0,0,0,0,0,nan,0,0.00156798,0.00156798,0.00156798
8,27.0786,0,38.3242,0,0,0,0,0,0,5932,0,0.00155148,0.00155148,0.00155148
9,30.2292,0,31.5366,0,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
10,33.2371,0,25.7951,0,0,0,0,0,0,0,0,0.00151847,0.00151847,0.00151847
11,36.3211,0,21.0816,0,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
12,39.4184,0,16.9539,0,0,0,0,0,0,0.00293,0,0.00148546,0.00148546,0.00148546
13,42.7972,0,13.4707,0,0,0,0,0,0,inf,0,0.00146896,0.00146896,0.00146896
14,45.8456,0,10.6722,0,0,0,0,0,0,nan,0,0.00145246,0.00145246,0.00145246
