epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49511,2.36162,3.75529,1.20239,0.00531,0.41084,0.06603,0.03565,1.90284,3.6035,0.99272,0.000542437,0.000542437,0.000542437
2,14.8087,1.97424,2.03574,1.06348,0.00914,0.72074,0.34095,0.15869,1.91797,2.70736,1.06319,0.00108723,0.00108723,0.00108723
3,21.0396,1.86332,1.68677,1.03703,0.8145,0.44374,0.63128,0.26785,1.78378,1.91582,1.03361,0.00162103,0.00162103,0.00162103
4,27.0886,1.8057,1.48732,1.02816,0.71824,0.6438,0.68414,0.29175,1.75726,1.4077,1.00501,0.00161749,0.00161749,0.00161749
5,33.0479,1.80457,1.41051,1.03085,0.71021,0.64158,0.70244,0.28482,1.79835,1.05103,1.01905,0.00160099,0.00160099,0.00160099
6,38.7704,1.75959,1.27921,1.01802,0.78449,0.68409,0.73688,0.33373,1.74141,1.10372,1.02121,0.00158448,0.00158448,0.00158448
7,44.7694,1.72845,1.2038,1.00544,0.85121,0.63394,0.74794,0.3295,1.77476,0.98775,1.01321,0.00156798,0.00156798,0.00156798
8,50.6994,1.69296,1.09829,0.98875,0.81872,0.70942,0.77979,0.36957,1.68252,0.95061,1.00114,0.00155148,0.00155148,0.00155148
9,56.5322,1.6761,1.04914,0.99234,0.82036,0.72779,0.78584,0.35863,1.65279,0.88503,0.99951,0.00153497,0.00153497,0.00153497
10,62.4271,1.63921,0.99226,0.97076,0.80174,0.68009,0.74743,0.32278,1.763,1.05687,1.00855,0.00151847,0.00151847,0.00151847
11,68.3221,1.66705,0.96939,0.98607,0.83359,0.7424,0.83474,0.37769,1.64936,0.88966,0.99055,0.00150197,0.00150197,0.00150197
12,74.1013,1.61625,0.96036,0.97195,0.80331,0.69161,0.77648,0.35985,1.63465,0.89883,0.9781,0.00148546,0.00148546,0.00148546
13,80.1107,1.60589,0.92532,0.97027,0.8216,0.75969,0.82267,0.40005,1.5465,0.81828,0.96676,0.00146896,0.00146896,0.00146896
14,85.9653,1.56964,0.88118,0.95753,0.84706,0.75025,0.82182,0.41496,1.57256,0.83281,0.97599,0.00145246,0.00145246,0.00145246
15,91.981,1.54798,0.8556,0.95826,0.86304,0.77878,0.8407,0.41135,1.58746,0.79234,0.98431,0.00143595,0.00143595,0.00143595
16,97.7828,1.5596,0.84052,0.96218,0.83146,0.78309,0.8564,0.42006,1.57003,0.81504,0.96874,0.00141945,0.00141945,0.00141945
17,103.96,1.51371,0.82544,0.94585,0.8161,0.76433,0.83175,0.40421,1.57591,0.78778,0.97424,0.00140295,0.00140295,0.00140295
18,109.627,1.5212,0.82292,0.95296,0.90037,0.79108,0.86015,0.42157,1.51851,0.76288,0.96788,0.00138644,0.00138644,0.00138644
19,115.632,1.48911,0.8163,0.93763,0.85381,0.78999,0.86207,0.43253,1.50894,0.75383,0.95463,0.00136994,0.00136994,0.00136994
20,121.349,1.49644,0.80387,0.9555,0.87451,0.78478,0.87042,0.43842,1.51288,0.77552,0.96382,0.00135344,0.00135344,0.00135344
21,127.14,1.46869,0.79638,0.9474,0.86539,0.80707,0.86848,0.43332,1.53162,0.75495,0.9613,0.00133693,0.00133693,0.00133693
22,132.966,1.47834,0.78421,0.94057,0.85283,0.73539,0.8262,0.4201,1.56068,0.76613,0.9847,0.00132043,0.00132043,0.00132043
23,138.88,1.49247,0.77185,0.94082,0.89183,0.8076,0.88103,0.44075,1.51354,0.73286,0.96415,0.00130393,0.00130393,0.00130393
24,144.757,1.45251,0.74552,0.93373,0.89928,0.78386,0.87749,0.45098,1.47515,0.73757,0.96029,0.00128742,0.00128742,0.00128742
25,154.368,1.45914,0.76723,0.93627,0.85478,0.79405,0.87187,0.43336,1.49699,0.71464,0.95097,0.00127092,0.00127092,0.00127092
26,160.148,1.4441,0.74271,0.93404,0.88986,0.79525,0.87402,0.44197,1.50537,0.73124,0.95355,0.00125442,0.00125442,0.00125442
27,165.893,1.46332,0.75835,0.92492,0.87988,0.81097,0.87029,0.4415,1.49392,0.72831,0.94636,0.00123791,0.00123791,0.00123791
28,171.552,1.44485,0.75017,0.93999,0.82091,0.82157,0.85366,0.45434,1.44462,0.68904,0.94651,0.00122141,0.00122141,0.00122141
29,177.634,1.40403,0.72293,0.9251,0.90395,0.79128,0.86753,0.41946,1.51553,0.7242,0.95716,0.00120491,0.00120491,0.00120491
30,183.476,1.45759,0.73163,0.93014,0.87061,0.82582,0.884,0.43452,1.50564,0.71188,0.9546,0.0011884,0.0011884,0.0011884
31,189.452,1.39303,0.70141,0.92203,0.88207,0.83031,0.89324,0.45556,1.48783,0.68115,0.95198,0.0011719,0.0011719,0.0011719
32,195.374,1.4027,0.70536,0.91796,0.88433,0.84026,0.89106,0.47085,1.44377,0.65317,0.94569,0.0011554,0.0011554,0.0011554
